calage,c14age,c14sig,tree
9096,8198.701865759178,21.856936702824257,Alpine Larch
9097,8251.758210633947,21.914001904779198,Alpine Larch
9098,8192.920649744621,21.326649903654758,Alpine Larch
9099,8192.140522932492,21.472961817475422,Alpine Larch
9100,8234.674250445456,21.401139973193843,Alpine Larch
9101,8235.221675831142,21.663362857255596,Alpine Larch
9102,8211.439105772377,21.41336430667588,Alpine Larch
9103,8199.820998371186,21.297556246778854,Alpine Larch
9104,8221.355028767204,21.48111652163739,Alpine Larch
9105,8202.335677014082,21.29537578462455,Alpine Larch
9106,8205.464526817803,21.240133489798453,Alpine Larch
9107,8224.655501116855,21.47494072730512,Alpine Larch
9108,8206.665916298252,21.3595099308968,Alpine Larch
9109,8181.258030691253,21.040478347615608,Alpine Larch
9110,8208.236095778233,21.576731802478296,Alpine Larch
9111,8191.0856310663485,21.317185272830763,Alpine Larch
9112,8162.283594104512,21.221746910300578,Alpine Larch
9113,8180.488156390297,21.1761750182295,Alpine Larch
9114,8198.963976987981,21.320061479725855,Alpine Larch
9115,8165.147331088921,21.41220248380457,Alpine Larch
9116,8151.101121097882,15.194078295380343,Alpine Larch
9118,8137.2347707743065,15.289448816596417,Alpine Larch
9119,8163.175586048457,21.513900245323537,Alpine Larch
9120,8096.949671512826,14.187321989107923,Alpine Larch
9121,8100.0346491644095,17.821118929178706,Alpine Larch
9122,8143.723935711455,14.438143787214694,Alpine Larch
9123,8120.731357390652,19.566250631637732,Alpine Larch
9124,8103.062082183103,14.364843213044816,Alpine Larch
9125,8087.697312655896,14.443247415904846,Alpine Larch
9126,8235.14511359273,19.4973012166865,Alpine Larch
9127,8242.390915414644,19.543260199453233,Alpine Larch
9128,8235.663808312147,19.176747434166785,Alpine Larch
9129,8261.45966651031,19.65644136344729,Alpine Larch
9130,8256.930035231007,19.77946409060251,Alpine Larch
9131,8237.034001562708,19.534011720911092,Alpine Larch
9132,8183.807488556092,19.550446628251457,Alpine Larch
9134,8230.571699147527,19.351659924890498,Alpine Larch
9136,8233.298992251976,20.935794842331802,Alpine Larch
9137,8244.441977160057,19.457092507443804,Alpine Larch
9138,8208.943925146667,19.63312032688226,Alpine Larch
9139,8233.689558065802,19.401189247321973,Alpine Larch
9140,8230.280959110747,19.38289078303308,Alpine Larch
9141,8228.993267394777,19.845495138226287,Alpine Larch
9142,8256.949911061429,19.609999291032167,Alpine Larch
9143,8268.422243468338,19.47677615376576,Alpine Larch
9144,8229.154241406906,19.669988784258486,Alpine Larch
9145,8208.461512442052,19.9633614884839,Alpine Larch
9125,8127.156216696533,7.24487903534418,German Oak
9126,8230.402259199316,5.536214963142738,German Oak
9127,8238.320995045464,6.417924255714582,German Oak
9128,8250.592616641616,12.45420546971115,German Oak
9129,8251.623857051201,10.366089639404938,German Oak
9130,8247.20370633082,12.55588641098801,German Oak
9131,8248.478111425138,10.40114264710279,German Oak
9132,8242.817715440451,12.577766249659698,German Oak
9133,8259.297760241787,10.440691200213507,German Oak
9134,8226.189353202688,12.450790631182828,German Oak
9135,8256.201312046642,10.452943390550038,German Oak
9136,8260.052467033547,12.473795256140184,German Oak
9137,8247.12334124717,10.318748805755074,German Oak
9138,8231.57104810284,16.9721638728996,German Oak
9139,8246.058924352146,12.554892358524054,German Oak
9140,8252.53879741502,12.264320841881522,German Oak
9141,8268.729045908893,12.732958599755786,German Oak
9142,8262.888220763565,16.99891083037448,German Oak
9143,8245.384617090609,12.532538981182187,German Oak
9144,8257.584860128045,16.979741348461967,German Oak
9145,8242.271199663262,12.543617667899605,German Oak
9146,8223.876814213887,16.956049614832793,German Oak
9147,8215.556114163706,12.49763550413657,German Oak
9148,8215.615368608516,16.74396280494566,German Oak
9149,8249.473383505481,13.451343355945312,German Oak
9150,8239.320060776186,13.26964140517101,German Oak
9151,8244.674690220798,13.370642913062614,German Oak
9152,8243.428060819895,13.402275691242723,German Oak
9153,8259.999579833202,13.365970327973073,German Oak
9154,8253.798540488659,13.339849456264565,German Oak
9155,8242.369427754884,13.287318018590653,German Oak
9156,8245.511354497818,13.28026738621302,German Oak
9157,8232.648230603285,13.103185067535195,German Oak
9158,8248.757718041052,13.143611321655044,German Oak
9159,8239.154392325147,13.001870647129486,German Oak
9160,8230.03498224469,13.15115561417916,German Oak
9161,8236.821521358206,13.295113759198912,German Oak
9162,8221.86247276267,13.48187518048753,German Oak
9163,8217.985204448412,13.251555945303439,German Oak
9164,8221.758944607756,13.301359114293955,German Oak
9165,8204.873498465538,13.346428210876184,German Oak
9166,8225.987384961025,13.456132139769599,German Oak
9167,8207.967368763228,13.225801648982184,German Oak
9168,8198.092751033011,13.33836814857395,German Oak
9169,8185.324700852787,13.101223367778717,German Oak
9040,8166.478970108267,19.837119167648126,German Oak
9041,8161.178995969723,19.200281396772155,German Oak
9042,8192.567442643878,19.44696948850112,German Oak
9043,8162.362856475913,19.336832860823172,German Oak
9044,8183.277471980215,19.222962943826875,German Oak
9045,8160.903946476573,19.343043067837314,German Oak
9046,8167.425069382879,19.30787221658979,German Oak
9047,8165.558511898921,19.181029949088124,German Oak
9048,8162.247034331415,19.115694386775978,German Oak
9049,8163.0715817682685,19.223714243584347,German Oak
9050,8149.9844795690415,19.136491264134758,German Oak
9052,8145.352537202672,19.39633443822719,German Oak
9053,8146.358874814614,18.362632857684208,German Oak
9054,8100.679846022709,19.27496598121404,German Oak
9055,8174.782346291765,19.490028569143576,German Oak
9072,8151.871435975734,14.25078768648149,German Oak
9073,8143.934119596899,14.184041648211648,German Oak
9074,8147.592835679137,14.188667818060743,German Oak
9075,8167.43312559624,14.238813063788271,German Oak
9076,8155.060116347308,14.352726671226659,German Oak
9077,8166.416920202178,14.250057680587478,German Oak
9078,8166.6724348026555,14.242286708013761,German Oak
9079,8153.409122136545,14.20862166225237,German Oak
9080,8138.16063934201,14.21260266851627,German Oak
9081,8155.582114733003,14.227859350216965,German Oak
9082,8152.263765844544,14.236500150377868,German Oak
9083,8160.372948902818,14.287172545050687,German Oak
9084,8162.3098444132365,14.231983289138984,German Oak
9085,8157.560846177043,14.192595703495925,German Oak
9086,8164.060224567167,14.276232929094837,German Oak
9087,8180.308395554148,14.293854482852367,German Oak
9088,8161.645144939632,14.249642244723201,German Oak
9090,8179.167126569883,14.248708433765508,German Oak
9091,8173.529235263634,14.248040966733665,German Oak
9092,8192.150536604135,14.28158863666692,German Oak
9093,8166.87354623037,14.300936988977362,German Oak
9094,8169.723234675539,14.206808019592309,German Oak
9095,8190.683335852784,14.206792066812984,German Oak
9096,8196.739211257945,14.24279944836382,German Oak
9097,8157.939101808849,14.298027026480025,German Oak
9099,8186.197942109879,17.724344907829146,German Oak
9101,8179.352240476619,17.69441513876854,German Oak
9102,8177.180831184265,17.70684335460441,German Oak
9103,8174.381074574932,17.77006943447305,German Oak
9104,8167.2222455795745,17.686052582834133,German Oak
9105,8192.230029233671,18.22257476985248,German Oak
9106,8188.0222483161815,17.715958726518206,German Oak
9107,8200.52024775984,17.721038249770753,German Oak
9108,8206.139052533623,17.805273119722845,German Oak
9109,8169.432609531416,10.46407991864255,German Oak
9110,8194.280481427317,12.663616292472263,German Oak
9111,8197.419192927102,10.540848691738187,German Oak
9112,8174.233805362793,12.668162614831752,German Oak
9113,8187.8956671299175,10.514005460035742,German Oak
9114,8186.299306525551,12.634444407211738,German Oak
9115,8181.742688517655,9.033667352040048,German Oak
9116,8165.987750201165,12.641025633513683,German Oak
9117,8147.976750544864,9.08333965335766,German Oak
9118,8154.375717421616,10.268613989811932,German Oak
9119,8155.260952300371,9.043484784821326,German Oak
9120,8149.1816613165065,10.248200134487899,German Oak
9121,8130.029772609099,8.978018916067938,German Oak
9122,8117.197443041541,10.319654347391415,German Oak
9123,8101.825002356318,8.86107719043954,German Oak
9124,8086.047603502469,7.319576832298767,German Oak
9099,8191.0654256933085,18.274160759436306,Bristlecone Pine (USA)
9100,8169.280591129641,18.708358195392723,Bristlecone Pine (USA)
9101,8188.420241241166,18.72022815465785,Bristlecone Pine (USA)
9102,8192.755557072434,18.6673556043193,Bristlecone Pine (USA)
9103,8186.445718482365,18.641948711335864,Bristlecone Pine (USA)
9104,8187.515401928431,18.295356269898402,Bristlecone Pine (USA)
9105,8165.1335298406375,18.3563108421763,Bristlecone Pine (USA)
9106,8224.17488880934,18.284020093089783,Bristlecone Pine (USA)
9107,8221.608114915965,18.32960951631193,Bristlecone Pine (USA)
9108,8186.671160150119,18.360426851376413,Bristlecone Pine (USA)
9109,8210.898259547323,18.502289113300147,Bristlecone Pine (USA)
