calage,c14age,c14sig,tree
7209,6297.450628072789,19.352387209811614,Irish Oak
7177,6264.093132865364,19.272191930207132,Irish Oak
7170,6209.96337691099,20.883015597920235,Irish Oak
7167,6244.84402224954,19.226066144473442,Irish Oak
7163,6304.490944036146,19.36935554581324,Irish Oak
7145,6151.011676980277,19.002795698924714,Irish Oak
7126,6164.843794044083,19.03554502369668,Irish Oak
7125,6151.01167698028,19.002795698924682,Irish Oak
7124,6200.919163423677,17.556760148879064,Irish Oak
7127,6176.966465311033,17.851111111111095,Irish Oak
7128,6168.478674895595,16.79348692859759,Irish Oak
7129,6136.341102993461,15.174498229043635,Irish Oak
7132,6148.075417984173,15.542059892082442,Irish Oak
7137,6129.791149836818,15.50672414902516,Irish Oak
7139,6134.2721197019855,17.411700324055193,Irish Oak
7144,6190.669775659509,16.839942944825026,Irish Oak
7146,6161.729490444802,17.9902665920151,Irish Oak
7151,6247.990722035158,16.785686300117494,Irish Oak
7153,6208.049328532481,16.702432262675707,Irish Oak
7154,6232.793079116083,15.35779617197852,Irish Oak
7155,6209.96337691099,18.272638648180234,Irish Oak
7157,6236.109651485795,17.459247989567427,Irish Oak
7161,6259.013888400446,15.583099021338738,Irish Oak
7162,6253.237962407246,17.67148022303534,Irish Oak
7164,6275.138432902091,15.614410203769586,Irish Oak
7169,6267.422655933067,16.826340250049086,Irish Oak
7171,6230.17569940507,17.620819216401667,Irish Oak
7181,6276.717573408459,16.845821136790594,Irish Oak
7182,6252.363184286179,17.494609839492952,Irish Oak
7183,6263.217171902718,16.817533529604166,Irish Oak
7200,6222.32867328533,18.126494391286386,Irish Oak
7229,6234.7414307787285,12.899052971939204,Irish Oak
7249,6277.344672426964,12.018419111304523,Irish Oak
7248,6301.0380969164935,15.389437407883944,Irish Oak
7247,6294.742376059088,11.384272723538198,Irish Oak
7246,6254.813520237193,12.253215876399045,Irish Oak
7245,6265.440003679133,11.733212676931212,Irish Oak
7244,6283.876208948085,8.946250331308157,Irish Oak
7243,6276.833860567957,11.630987409960637,Irish Oak
7242,6260.38679641937,12.297979093851563,Irish Oak
7241,6250.241243742916,10.859434904021343,Irish Oak
7240,6226.0481340259175,10.90815440366058,Irish Oak
7239,6253.412308941158,15.055689980150532,Irish Oak
7238,6256.0440409822095,9.285637389936912,Irish Oak
7237,6259.780656915507,11.193458549147003,Irish Oak
7236,6236.217853631985,11.309593526720096,Irish Oak
7235,6244.3805127243995,18.16305773416982,Irish Oak
7234,6259.751762432226,12.005026765313206,Irish Oak
7233,6246.1047553136505,12.62725799983793,Irish Oak
7232,6256.202647599744,12.829847739808583,Irish Oak
7231,6249.427553758226,18.150254316830665,Irish Oak
7230,6226.539999246739,11.9378247878826,Irish Oak
7228,6243.194492678416,13.223946981514612,Irish Oak
7227,6246.604269220389,12.216054501515469,Irish Oak
7226,6271.207721235836,12.493877928976348,Irish Oak
7225,6266.866035857514,17.877297962226933,Irish Oak
7224,6257.228802311834,12.837169774720666,Irish Oak
7223,6257.914677450962,12.520794259039516,Irish Oak
7222,6280.826092866317,17.787536491031762,Irish Oak
7221,6255.768644076337,9.846467002586447,Irish Oak
7220,6266.361820824766,11.81953110656934,Irish Oak
7219,6285.102512292353,10.531720264617308,Irish Oak
7218,6284.22170271857,10.167143825724082,Irish Oak
7217,6272.359377231508,12.773332193455781,Irish Oak
7216,6295.618462828167,17.765651921950326,Irish Oak
7215,6280.551915171512,11.818921486167788,Irish Oak
7214,6286.237744575849,12.492140186282633,Irish Oak
7213,6282.103907706518,13.106622563609266,Irish Oak
7212,6299.952173835543,12.437578807144103,Irish Oak
7211,6301.119729886796,11.863641982165857,Irish Oak
7210,6297.6586705106865,12.294658816004008,Irish Oak
7208,6167.22545697186,12.494651919756684,Irish Oak
7207,6125.970802997655,11.926036815078021,Irish Oak
7206,6167.722496247892,11.879874644278207,Irish Oak
7205,6172.368447107211,11.057710470817302,Irish Oak
7204,6188.845666179147,15.949591749843298,Irish Oak
7203,6171.207618905083,11.159183477931041,Irish Oak
7202,6193.6727908721505,11.631780440379071,Irish Oak
7201,6206.265951014938,16.053050113174965,Irish Oak
7199,6244.236807942252,11.95813503594348,Irish Oak
7198,6212.097409425671,12.023418457719094,Irish Oak
7197,6237.137732887189,16.0090151383188,Irish Oak
7196,6245.249208157115,12.521963326331184,Irish Oak
7195,6243.0675281376425,12.204285750126315,Irish Oak
7194,6253.637132828617,11.183663938343772,Irish Oak
7193,6244.74520950772,12.510109894026176,Irish Oak
7192,6242.7831491991965,11.61314960756522,Irish Oak
7191,6236.747064220934,11.887041189031956,Irish Oak
7190,6255.781256933588,11.175866538589572,Irish Oak
7189,6247.738690099969,11.932213815040937,Irish Oak
7188,6279.295526189046,17.845775255275093,Irish Oak
7187,6271.666734143165,12.392112083776025,Irish Oak
7186,6263.133610735915,11.06795675031203,Irish Oak
7184,6272.620558316056,11.852630833118184,Irish Oak
7180,6274.905229359991,10.957590621838582,Irish Oak
7179,6276.842616530537,11.783450071117553,Irish Oak
7176,6291.35868035614,11.839405045542703,Irish Oak
7175,6255.617291668324,11.551722364074076,Irish Oak
7174,6264.2873372812055,11.919526414573422,Irish Oak
7173,6272.048305647144,11.410088196914304,Irish Oak
7172,6267.324079901687,10.930081384706646,Irish Oak
7166,6260.218158622555,12.091057172166577,Irish Oak
7165,6283.644093239585,11.855909245720767,Irish Oak
7159,6236.169405083784,12.32191726109987,Irish Oak
7156,6237.5873394224245,12.754753927360863,Irish Oak
7150,6196.629163315922,11.475287728986764,Irish Oak
7149,6201.962555572936,12.730864123567752,Irish Oak
7148,6167.016117429144,12.720866253782507,Irish Oak
7147,6179.550943635976,12.341289504078196,Irish Oak
7143,6154.294322958414,11.754820273694966,Irish Oak
7142,6147.172624381405,12.653739213307542,Irish Oak
7141,6136.937244005997,12.10483466326249,Irish Oak
7140,6118.648659150353,12.07346502883045,Irish Oak
7138,6130.281054719624,12.25401676726427,Irish Oak
7136,6116.756670212127,16.69008886762844,Irish Oak
7135,6113.149462244489,12.666813698132176,Irish Oak
7134,6124.670024736386,12.053223166618823,Irish Oak
7133,6132.219922962757,12.360853055861313,Irish Oak
7131,6141.8165528524805,11.817196480066732,Irish Oak
7130,6151.757003924935,11.737207098070646,Irish Oak
7200,6233.4940099231,13.692293655102974,Bristlecone Pine (USA)
7201,6235.781583016278,11.15631122765488,Bristlecone Pine (USA)
7202,6214.025470514607,11.200250958954934,Bristlecone Pine (USA)
7203,6201.609212059655,13.701743884050412,Bristlecone Pine (USA)
7204,6190.933907822642,10.999248054937178,Bristlecone Pine (USA)
7205,6173.550191381124,11.210294475337106,Bristlecone Pine (USA)
7206,6160.8187641077375,13.55956808511258,Bristlecone Pine (USA)
7207,6168.673252292098,11.199420159772123,Bristlecone Pine (USA)
7208,6163.416933647108,11.105827538310075,Bristlecone Pine (USA)
7209,6209.107771401523,11.242907928588915,Bristlecone Pine (USA)
7210,6305.387347758897,13.803907245306144,Bristlecone Pine (USA)
7211,6267.952265338752,13.702894974039847,Bristlecone Pine (USA)
7212,6267.127578027337,9.638996126451735,Bristlecone Pine (USA)
7213,6269.167315957456,13.30704965859625,Bristlecone Pine (USA)
7214,6276.597701806154,13.249480147685853,Bristlecone Pine (USA)
7215,6317.522518510229,19.627991624682156,Bristlecone Pine (USA)
7216,6268.987783795999,18.97071280012965,Bristlecone Pine (USA)
7217,6281.2762450466,19.023738158841194,Bristlecone Pine (USA)
7218,6306.257679491092,19.05746735901087,Bristlecone Pine (USA)
7219,6305.848830012329,18.62441817470237,Bristlecone Pine (USA)
7220,6282.963680489674,18.89548234648953,Bristlecone Pine (USA)
7195,6233.425242129155,16.491535004124188,Alpine Larch
7196,6227.391446271765,13.58602566758606,Alpine Larch
7197,6244.596404203343,16.565707545197338,Alpine Larch
7198,6270.51471256012,13.606945467001617,Alpine Larch
7199,6238.582024485816,16.526865547251106,Alpine Larch
7200,6215.412411623197,13.500078061698916,Alpine Larch
7201,6192.86975224111,16.480082448952906,Alpine Larch
7202,6176.383126622843,13.65937596121777,Alpine Larch
7203,6168.375388122559,16.433935189008146,Alpine Larch
7204,6170.261637367916,13.463226938305302,Alpine Larch
7205,6154.507760671587,16.5141041169008,Alpine Larch
7206,6157.487931995123,13.442197437533686,Alpine Larch
7207,6135.8536781631565,16.725669234144036,Alpine Larch
7208,6138.542982894801,14.021663469308963,Alpine Larch
7209,6275.854783741331,16.810090045633462,Alpine Larch
7210,6276.8321882096125,14.055381045749387,Alpine Larch
7211,6265.36794478029,16.537744368511618,Alpine Larch
7212,6296.984946979298,14.345177158402867,Alpine Larch
7213,6269.141226732577,16.513101521170046,Alpine Larch
7214,6294.587243225734,14.180388339437371,Alpine Larch
7215,6267.077813056081,13.889393040931115,Alpine Larch
7216,6253.76856057155,16.537834966631472,Alpine Larch
7217,6299.646860599509,13.778337069597594,Alpine Larch
7218,6263.9116377230675,16.499181495621254,Alpine Larch
7219,6266.9300205498685,13.568048429156597,Alpine Larch
7220,6256.420946475871,16.61235230345046,Alpine Larch
7196,6251.440458014817,12.968876305165063,Sibirian Larch
7197,6254.058315300888,12.983256708976128,Sibirian Larch
7198,6247.166626278605,12.905639941403344,Sibirian Larch
7199,6246.300023375905,12.875825786811797,Sibirian Larch
7200,6241.658224325824,12.864014977917723,Sibirian Larch
7201,6210.6633779344065,12.845386475151537,Sibirian Larch
7202,6198.152553594906,13.074140726907064,Sibirian Larch
7203,6198.91936028394,12.956381877738327,Sibirian Larch
7204,6183.319771347723,13.251591967839435,Sibirian Larch
7205,6146.996252493941,12.903111741517435,Sibirian Larch
7206,6154.728564246101,12.908965230629375,Sibirian Larch
7207,6139.839513754931,12.910171856279467,Sibirian Larch
7208,6160.408908068631,13.20936904815509,Sibirian Larch
7209,6300.274182927448,13.126600233578674,Sibirian Larch
7210,6281.158232694775,12.973719744936153,Sibirian Larch
7211,6292.045135359479,13.068747688474483,Sibirian Larch
7212,6275.356290527786,12.928073544435549,Sibirian Larch
7213,6273.508655417567,13.00919941341129,Sibirian Larch
7214,6256.76539709473,12.965495705875197,Sibirian Larch
7215,6280.640956970875,12.959842716770718,Sibirian Larch
7216,6285.11686971332,13.016111079129137,Sibirian Larch
7217,6280.035127886949,12.98279293873712,Sibirian Larch
7218,6286.428672460272,12.933840236638972,Sibirian Larch
7219,6275.179035364727,16.66048353158773,Sibirian Larch
7220,6253.842988301307,12.965109161950528,Sibirian Larch
7221,6289.407036901802,16.721322461166146,Sibirian Larch
