event,tree,sample_size,IntCal20_count,IntCal20_percentage,IntCal20_standard_error,BNN_count,BNN_percentage,BNN_standard_error
first event,Alpine Larch,47,27,57,0.07211906589779132,16,34,0.06911845969757288
first event,Bristlecone Pine (USA),45,31,69,0.06901223525245698,25,56,0.07407407407407407
first event,German Oak,110,73,66,0.04504776661761559,61,55,0.04738860559137414
first event,sub-total,202,131,65,0.033592147456427635,102,50,0.035178152859519876
second event,Alpine Larch,26,9,35,0.09330087000722768,15,58,0.09689066801072671
second event,Bristlecone Pine (USA),21,7,33,0.10286889997472795,11,52,0.10898516862311035
second event,Irish Oak,120,63,52,0.04558645632202617,63,52,0.04558645632202617
second event,Sibirian Larch,26,12,46,0.09776752450803732,17,65,0.09330087000722768
second event,sub-total,193,91,47,0.03593228358215499,106,55,0.03581595992440655
the two events,total,395,222,56,0.024963409177605,208,53,0.025122151326423887
